推: 2,噓: 0,分數: 2,作者: laidos (道士),標題: Re: [新聞] 洪申翰接任勞長：不必恭喜我 這是不能失敗,時間: Sat Nov 23 21:16:33 2024
推: 4,噓: 5,分數: -1,作者: erichicken (吾乃長衫罩紙籠),標題: [問卦] 小7進貨忙不賣霜淇淋？,時間: Sat Nov 23 21:46:57 2024
推: 7,噓: 3,分數: 4,作者: MoreLight (大文),標題: [問卦] 開放安樂死有什麼不好？,時間: Sat Nov 23 22:54:30 2024
推: 1,噓: 0,分數: 1,作者: ceramicfa (ceramicfa),標題: [問卦] 日本vs台灣 等於大師兄vs何金銀嗎,時間: Sun Nov 24 04:33:31 2024
推: 1,噓: 2,分數: -1,作者: IronCube (高端邁粉),標題: [問卦] 昨天是中華隊還是臺灣隊故意犯規啊？,時間: Sun Nov 24 07:49:19 2024
推: 4,噓: 1,分數: 3,作者: PRME (我的文最廢),標題: [問卦] 小日本偷襲珍珠港是不是沒運動精神？？？,時間: Sun Nov 24 02:25:29 2024
推: 10,噓: 0,分數: 10,作者: aeont (slave),標題: [問卦] 挖靠!沒看yahoo首頁還不知今天金馬獎?,時間: Sat Nov 23 22:06:09 2024
推: 2,噓: 0,分數: 2,作者: GKKR (大肥宅油膩膩),標題: Re: [問卦] 有哪些看了可以發洩的爽片？,時間: Sat Nov 23 22:23:50 2024
推: 0,噓: 0,分數: 0,作者: yokann (PTT和平大使),標題: Re: [問卦] 搞不懂換先發有啥好吵的,時間: Sun Nov 24 09:54:11 2024
推: 5,噓: 2,分數: 3,作者: ai770116 (東方的神秘力量),標題: [問卦] 不搞霸凌是台灣棒球強大的原因嗎？,時間: Sat Nov 23 20:27:08 2024
推: 2,噓: 0,分數: 2,作者: STAV72 (刁民黨黨務主委),標題: [新聞] 研究指出獸控傾向有助開發幼兒心智潛能,時間: Sat Nov 23 20:09:50 2024
推: 13,噓: 2,分數: 11,作者: windows0310 (飛向宇宙浩瀚無垠),標題: [問卦] 大奶OL下班後的黑絲褲襪香嗎？,時間: Sat Nov 23 20:56:40 2024
推: 21,噓: 13,分數: 8,作者: botnet (反甲連-宣傳長),標題: [新聞] 2024高雄同志大遊行　林岱樺:性別友善,時間: Sat Nov 23 21:52:39 2024
推: 10,噓: 8,分數: 2,作者: vodkalime607 (一直跑下去),標題: [新聞] 金馬61／11歲鄭又菲奪最佳新人激動大叫 ,時間: Sat Nov 23 21:54:00 2024
推: 11,噓: 0,分數: 11,作者: lifesg (無價之寶),標題: [問卦] 你們覺得BIGBANG是幾個人?,時間: Sat Nov 23 23:47:38 2024
